run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,switches,detections,precision,recall,median_delay,mean_delay,p90_delay,false_positives,false_pos_per_1k
paper_ablate_v2_bapr_fixed_decay_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_fixed_decay,HalfCheetah-v2,1,60,300,1499,True,18081.198,458.460,18920.791,22.088,53.010,2.307,True,25,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_fixed_decay_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_fixed_decay,HalfCheetah-v2,2,60,300,1499,True,15554.687,691.464,17829.289,22.059,52.941,2.332,True,21,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_adapt_beta_Ant_dw60_s0,paper_ablate_v2,bapr_no_adapt_beta,Ant-v2,0,60,300,1499,True,4754.064,4166.603,20337.754,11.503,27.608,1.446,True,28,26,0.462,0.929,14.0,17.4,35.5,5,3.33
paper_ablate_v2_bapr_no_adapt_beta_Ant_dw60_s1,paper_ablate_v2,bapr_no_adapt_beta,Ant-v2,1,60,300,1499,True,3047.244,1335.177,14782.255,11.384,27.322,1.432,True,25,16,0.414,0.640,31.0,29.8,46.0,2,1.33
paper_ablate_v2_bapr_no_adapt_beta_Ant_dw60_s2,paper_ablate_v2,bapr_no_adapt_beta,Ant-v2,2,60,300,1499,True,3323.586,3075.106,17363.930,11.846,28.431,1.479,True,21,17,0.382,0.810,22.0,21.8,39.6,3,2.00
paper_ablate_v2_bapr_no_adapt_beta_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_no_adapt_beta,HalfCheetah-v2,0,60,300,1499,True,11213.682,608.466,12210.196,15.380,36.911,1.269,True,28,25,0.607,0.893,15.0,19.2,41.6,5,3.33
paper_ablate_v2_bapr_no_adapt_beta_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_no_adapt_beta,HalfCheetah-v2,1,60,300,1499,True,20109.278,660.788,21943.700,8.486,20.367,0.359,True,25,16,0.417,0.640,13.5,16.3,31.5,4,2.67
paper_ablate_v2_bapr_no_adapt_beta_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_no_adapt_beta,HalfCheetah-v2,2,60,300,1499,True,23661.970,638.342,24820.541,20.859,50.063,1.423,True,21,15,0.389,0.714,18.0,18.3,31.4,4,2.67
paper_ablate_v2_bapr_no_bocd_Ant_dw60_s0,paper_ablate_v2,bapr_no_bocd,Ant-v2,0,60,300,1499,True,6918.336,5745.971,19119.396,11.923,28.616,2.399,True,28,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_bocd_Ant_dw60_s1,paper_ablate_v2,bapr_no_bocd,Ant-v2,1,60,300,1499,True,10802.766,7414.601,21994.641,11.689,28.052,2.409,True,25,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_bocd_Ant_dw60_s2,paper_ablate_v2,bapr_no_bocd,Ant-v2,2,60,300,1499,True,3981.366,2537.583,17783.439,11.685,28.044,2.410,True,21,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_bocd_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_no_bocd,HalfCheetah-v2,0,60,300,1499,True,12448.819,1264.885,15492.245,21.652,51.965,1.421,True,28,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_bocd_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_no_bocd,HalfCheetah-v2,1,60,300,1499,True,26222.235,1316.160,27875.488,21.712,52.108,1.433,True,25,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_bocd_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_no_bocd,HalfCheetah-v2,2,60,300,1499,True,12946.446,456.385,14404.101,20.829,49.989,1.371,True,21,0,0.000,0.000,,,,0,0.00
paper_ablate_v2_bapr_no_rmdm_Ant_dw60_s0,paper_ablate_v2,bapr_no_rmdm,Ant-v2,0,60,300,1499,True,3081.197,2848.429,18473.323,15.514,37.235,2.096,True,28,27,0.339,0.964,8.0,12.4,24.4,11,7.33
