run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s0,paper_ablate_v2,bapr_unsupervised,Ant-v2,0,60,300,1499,True,1398.202,752.841,14220.141,8.701,20.883,1.641,True
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s1,paper_ablate_v2,bapr_unsupervised,Ant-v2,1,60,300,1499,True,1359.407,680.252,12417.900,11.054,26.529,2.277,True
paper_ablate_v2_bapr_unsupervised_Ant_dw60_s2,paper_ablate_v2,bapr_unsupervised,Ant-v2,2,60,300,1499,True,2938.332,2735.412,16316.320,4.761,11.426,0.689,True
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,0,60,300,1499,True,19108.840,1471.020,23922.361,21.755,52.212,1.362,True
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,1,60,300,1499,True,20445.484,1050.881,23133.919,21.793,52.304,1.576,True
paper_ablate_v2_bapr_unsupervised_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_unsupervised,HalfCheetah-v2,2,60,300,1499,True,11321.513,2857.162,14857.761,21.895,52.547,1.529,True
paper_bad_bapr_HalfCheetah_dw60_s1,paper,bad_bapr,HalfCheetah-v2,1,60,300,1499,True,16362.641,450.018,17283.582,23.348,56.035,2.434,True
paper_bad_bapr_HalfCheetah_dw60_s2,paper,bad_bapr,HalfCheetah-v2,2,60,300,1499,True,10884.448,2325.561,13835.600,,,,False
paper_bapr_fixed_decay_HalfCheetah_dw60_s1,paper,bapr_fixed_decay,HalfCheetah-v2,1,60,300,1499,True,8508.545,626.818,10049.887,23.331,55.995,2.440,True
paper_bapr_fixed_decay_HalfCheetah_dw60_s2,paper,bapr_fixed_decay,HalfCheetah-v2,2,60,300,1499,True,19621.483,609.210,20719.832,23.334,56.001,2.539,True
paper_bapr_Hopper_dw60_s1,paper,bapr,Hopper-v2,1,60,300,1499,True,382.437,4.524,430.434,6.695,16.069,2.119,True
paper_bapr_Hopper_dw60_s2,paper,bapr,Hopper-v2,2,60,300,1499,True,451.735,6.211,469.946,2.305,5.533,0.318,True
paper_bapr_no_adapt_beta_HalfCheetah_dw60_s1,paper,bapr_no_adapt_beta,HalfCheetah-v2,1,60,300,1499,True,20603.430,4239.366,23443.195,15.793,37.904,1.257,True
paper_bapr_no_adapt_beta_HalfCheetah_dw60_s2,paper,bapr_no_adapt_beta,HalfCheetah-v2,2,60,300,1499,True,18173.600,954.747,19443.549,15.794,37.905,1.267,True
paper_bapr_no_bocd_HalfCheetah_dw60_s1,paper,bapr_no_bocd,HalfCheetah-v2,1,60,300,1499,True,18905.643,1257.621,21361.317,7.571,18.170,0.224,True
paper_bapr_no_bocd_HalfCheetah_dw60_s2,paper,bapr_no_bocd,HalfCheetah-v2,2,60,300,1499,True,8779.464,402.797,10901.047,24.277,58.264,2.492,True
paper_bapr_no_rmdm_HalfCheetah_dw60_s1,paper,bapr_no_rmdm,HalfCheetah-v2,1,60,300,1499,True,11026.111,595.792,12553.994,7.525,18.060,0.167,True
paper_bapr_no_rmdm_HalfCheetah_dw60_s2,paper,bapr_no_rmdm,HalfCheetah-v2,2,60,300,1499,True,9398.910,485.861,11437.473,7.504,18.011,0.165,True
paper_bapr_Walker2d_dw60_s1,paper,bapr,Walker2d-v2,1,60,300,1499,True,376.145,14.086,431.800,0.036,129.889,0.000,True
paper_bapr_Walker2d_dw60_s2,paper,bapr,Walker2d-v2,2,60,300,1499,True,326.229,4.709,341.317,4.855,11.652,1.249,True
paper_escp_Hopper_dw60_s1,paper,escp,Hopper-v2,1,60,300,1499,True,667.582,71.876,861.308,4.731,11.354,1.303,True
paper_escp_Hopper_dw60_s2,paper,escp,Hopper-v2,2,60,300,1499,True,715.135,26.277,765.313,4.735,11.365,1.310,True
paper_escp_Walker2d_dw60_s1,paper,escp,Walker2d-v2,1,60,300,1499,True,573.443,102.178,789.397,4.827,11.584,1.197,True
