run,tag,algo,env,seed,dwell,n_eval,last_iter,complete_1500,mean_last_iters,std_last_iters,best_eval,runtime_hours,mean_iter_seconds,mean_train_seconds,has_eval_std,mode_means,worst_mode,worst_mode_mean,mean_worst_gap,worst_quartile_mean,recovery_n,recovery_median_iters,recovery_mean_iters
paper_ablate_v2_bapr_no_bocd_Ant_dw60_s1,paper_ablate_v2,bapr_no_bocd,Ant-v2,1,60,300,1499,True,10802.766,7414.601,21994.641,11.689,28.052,2.409,True,0:12738.3;1:9550.4;2:12857.3;3:8794.4,3,8794.365,2190.724,2780.896,26,3.0,46.0
paper_ablate_v2_bapr_no_bocd_Ant_dw60_s2,paper_ablate_v2,bapr_no_bocd,Ant-v2,2,60,300,1499,True,3981.366,2537.583,17783.439,11.685,28.044,2.410,True,0:5027.8;1:4624.9;2:4349.1;3:2785.2,3,2785.158,1411.590,2203.920,22,3.5,29.5
paper_ablate_v2_bapr_no_bocd_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_no_bocd,HalfCheetah-v2,0,60,300,1499,True,12448.819,1264.885,15492.245,21.652,51.965,1.421,True,0:12764.8;1:11941.1;3:12452.4,1,11941.080,445.009,10873.583,28,3.0,5.0
paper_ablate_v2_bapr_no_bocd_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_no_bocd,HalfCheetah-v2,1,60,300,1499,True,26222.235,1316.160,27875.488,21.712,52.108,1.433,True,0:26220.8;1:26499.0;2:25782.7;3:26481.7,2,25782.692,463.346,24742.308,23,2.0,2.7
paper_ablate_v2_bapr_no_bocd_HalfCheetah_dw60_s2,paper_ablate_v2,bapr_no_bocd,HalfCheetah-v2,2,60,300,1499,True,12946.446,456.385,14404.101,20.829,49.989,1.371,True,0:12705.7;1:12898.7;2:13107.0;3:12913.9,0,12705.697,200.628,12384.542,22,1.0,1.7
paper_ablate_v2_bapr_no_rmdm_Ant_dw60_s0,paper_ablate_v2,bapr_no_rmdm,Ant-v2,0,60,300,1499,True,3081.197,2848.429,18473.323,15.514,37.235,2.096,True,0:2374.4;1:2810.6;3:3520.7,0,2374.434,527.468,1251.400,28,4.0,48.0
paper_ablate_v2_bapr_no_rmdm_Ant_dw60_s1,paper_ablate_v2,bapr_no_rmdm,Ant-v2,1,60,300,1499,True,1967.396,1285.500,16948.273,5.754,13.811,0.500,True,0:3517.1;1:1449.8;2:1811.1;3:2206.7,1,1449.832,796.344,864.136,26,3.5,80.3
paper_ablate_v2_bapr_no_rmdm_Ant_dw60_s2,paper_ablate_v2,bapr_no_rmdm,Ant-v2,2,60,300,1499,True,2780.076,1729.299,15081.771,15.520,37.247,2.094,True,0:2568.0;1:3176.9;2:3010.2;3:2237.4,3,2237.421,510.724,1186.025,22,4.0,35.0
paper_ablate_v2_bapr_no_rmdm_HalfCheetah_dw60_s0,paper_ablate_v2,bapr_no_rmdm,HalfCheetah-v2,0,60,300,1499,True,21072.837,741.402,24368.824,19.681,47.235,1.210,True,0:21190.3;3:20668.3,3,20668.273,261.009,20150.210,29,3.0,2.3
paper_ablate_v2_bapr_no_rmdm_HalfCheetah_dw60_s1,paper_ablate_v2,bapr_no_rmdm,HalfCheetah-v2,1,60,300,1499,True,11692.268,1246.664,13100.486,20.513,49.231,1.238,True,1:11524.4;2:11711.4;3:11842.5,1,11524.391,168.363,10316.232,30,2.0,2.8
